p cnf 153 19380
1 18 2 0
1 19 3 0
2 34 3 0
18 34 19 0
1 20 4 0
2 35 4 0
18 35 20 0
3 49 4 0
19 49 20 0
34 49 35 0
1 21 5 0
2 36 5 0
18 36 21 0
3 50 5 0
19 50 21 0
34 50 36 0
4 63 5 0
20 63 21 0
35 63 36 0
49 63 50 0
1 22 6 0
2 37 6 0
18 37 22 0
3 51 6 0
19 51 22 0
34 51 37 0
4 64 6 0
20 64 22 0
35 64 37 0
49 64 51 0
5 76 6 0
21 76 22 0
36 76 37 0
50 76 51 0
63 76 64 0
1 23 7 0
2 38 7 0
18 38 23 0
3 52 7 0
19 52 23 0
34 52 38 0
4 65 7 0
20 65 23 0
35 65 38 0
49 65 52 0
5 77 7 0
21 77 23 0
36 77 38 0
50 77 52 0
63 77 65 0
6 88 7 0
22 88 23 0
37 88 38 0
51 88 52 0
64 88 65 0
76 88 77 0
1 24 8 0
2 39 8 0
18 39 24 0
3 53 8 0
19 53 24 0
34 53 39 0
4 66 8 0
20 66 24 0
35 66 39 0
49 66 53 0
5 78 8 0
21 78 24 0
36 78 39 0
50 78 53 0
63 78 66 0
6 89 8 0
22 89 24 0
37 89 39 0
51 89 53 0
64 89 66 0
76 89 78 0
7 99 8 0
23 99 24 0
38 99 39 0
52 99 53 0
65 99 66 0
77 99 78 0
88 99 89 0
1 25 9 0
2 40 9 0
18 40 25 0
3 54 9 0
19 54 25 0
34 54 40 0
4 67 9 0
20 67 25 0
35 67 40 0
49 67 54 0
5 79 9 0
21 79 25 0
36 79 40 0
50 79 54 0
63 79 67 0
6 90 9 0
22 90 25 0
37 90 40 0
51 90 54 0
64 90 67 0
76 90 79 0
7 100 9 0
23 100 25 0
38 100 40 0
52 100 54 0
65 100 67 0
77 100 79 0
88 100 90 0
8 109 9 0
24 109 25 0
39 109 40 0
53 109 54 0
66 109 67 0
78 109 79 0
89 109 90 0
99 109 100 0
1 26 10 0
2 41 10 0
18 41 26 0
3 55 10 0
19 55 26 0
34 55 41 0
4 68 10 0
20 68 26 0
35 68 41 0
49 68 55 0
5 80 10 0
21 80 26 0
36 80 41 0
50 80 55 0
63 80 68 0
6 91 10 0
22 91 26 0
37 91 41 0
51 91 55 0
64 91 68 0
76 91 80 0
7 101 10 0
23 101 26 0
38 101 41 0
52 101 55 0
65 101 68 0
77 101 80 0
88 101 91 0
8 110 10 0
24 110 26 0
39 110 41 0
53 110 55 0
66 110 68 0
78 110 80 0
89 110 91 0
99 110 101 0
9 118 10 0
25 118 26 0
40 118 41 0
54 118 55 0
67 118 68 0
79 118 80 0
90 118 91 0
100 118 101 0
109 118 110 0
1 27 11 0
2 42 11 0
18 42 27 0
3 56 11 0
19 56 27 0
34 56 42 0
4 69 11 0
20 69 27 0
35 69 42 0
49 69 56 0
5 81 11 0
21 81 27 0
36 81 42 0
50 81 56 0
63 81 69 0
6 92 11 0
22 92 27 0
37 92 42 0
51 92 56 0
64 92 69 0
76 92 81 0
7 102 11 0
23 102 27 0
38 102 42 0
52 102 56 0
65 102 69 0
77 102 81 0
88 102 92 0
8 111 11 0
24 111 27 0
39 111 42 0
53 111 56 0
66 111 69 0
78 111 81 0
89 111 92 0
99 111 102 0
9 119 11 0
25 119 27 0
40 119 42 0
54 119 56 0
67 119 69 0
79 119 81 0
90 119 92 0
100 119 102 0
109 119 111 0
10 126 11 0
26 126 27 0
41 126 42 0
55 126 56 0
68 126 69 0
80 126 81 0
91 126 92 0
101 126 102 0
110 126 111 0
118 126 119 0
1 28 12 0
2 43 12 0
18 43 28 0
3 57 12 0
19 57 28 0
34 57 43 0
4 70 12 0
20 70 28 0
35 70 43 0
49 70 57 0
5 82 12 0
21 82 28 0
36 82 43 0
50 82 57 0
63 82 70 0
6 93 12 0
22 93 28 0
37 93 43 0
51 93 57 0
64 93 70 0
76 93 82 0
7 103 12 0
23 103 28 0
38 103 43 0
52 103 57 0
65 103 70 0
77 103 82 0
88 103 93 0
8 112 12 0
24 112 28 0
39 112 43 0
53 112 57 0
66 112 70 0
78 112 82 0
89 112 93 0
99 112 103 0
9 120 12 0
25 120 28 0
40 120 43 0
54 120 57 0
67 120 70 0
79 120 82 0
90 120 93 0
100 120 103 0
109 120 112 0
10 127 12 0
26 127 28 0
41 127 43 0
55 127 57 0
68 127 70 0
80 127 82 0
91 127 93 0
101 127 103 0
110 127 112 0
118 127 120 0
11 133 12 0
27 133 28 0
42 133 43 0
56 133 57 0
69 133 70 0
81 133 82 0
92 133 93 0
102 133 103 0
111 133 112 0
119 133 120 0
126 133 127 0
1 29 13 0
2 44 13 0
18 44 29 0
3 58 13 0
19 58 29 0
34 58 44 0
4 71 13 0
20 71 29 0
35 71 44 0
49 71 58 0
5 83 13 0
21 83 29 0
36 83 44 0
50 83 58 0
63 83 71 0
6 94 13 0
22 94 29 0
37 94 44 0
51 94 58 0
64 94 71 0
76 94 83 0
7 104 13 0
23 104 29 0
38 104 44 0
52 104 58 0
65 104 71 0
77 104 83 0
88 104 94 0
8 113 13 0
24 113 29 0
39 113 44 0
53 113 58 0
66 113 71 0
78 113 83 0
89 113 94 0
99 113 104 0
9 121 13 0
25 121 29 0
40 121 44 0
54 121 58 0
67 121 71 0
79 121 83 0
90 121 94 0
100 121 104 0
109 121 113 0
10 128 13 0
26 128 29 0
41 128 44 0
55 128 58 0
68 128 71 0
80 128 83 0
91 128 94 0
101 128 104 0
110 128 113 0
118 128 121 0
11 134 13 0
27 134 29 0
42 134 44 0
56 134 58 0
69 134 71 0
81 134 83 0
92 134 94 0
102 134 104 0
111 134 113 0
119 134 121 0
126 134 128 0
12 139 13 0
28 139 29 0
43 139 44 0
57 139 58 0
70 139 71 0
82 139 83 0
93 139 94 0
103 139 104 0
112 139 113 0
120 139 121 0
127 139 128 0
133 139 134 0
1 30 14 0
2 45 14 0
18 45 30 0
3 59 14 0
19 59 30 0
34 59 45 0
4 72 14 0
20 72 30 0
35 72 45 0
49 72 59 0
5 84 14 0
21 84 30 0
36 84 45 0
50 84 59 0
63 84 72 0
6 95 14 0
22 95 30 0
37 95 45 0
51 95 59 0
64 95 72 0
76 95 84 0
7 105 14 0
23 105 30 0
38 105 45 0
52 105 59 0
65 105 72 0
77 105 84 0
88 105 95 0
8 114 14 0
24 114 30 0
39 114 45 0
53 114 59 0
66 114 72 0
78 114 84 0
89 114 95 0
99 114 105 0
9 122 14 0
25 122 30 0
40 122 45 0
54 122 59 0
67 122 72 0
79 122 84 0
90 122 95 0
100 122 105 0
