p cnf 153 6120
1 18 34 3 0
-1 -18 -34 -3 0
1 18 35 4 0
-1 -18 -35 -4 0
1 19 49 4 0
-1 -19 -49 -4 0
2 34 49 4 0
-2 -34 -49 -4 0
18 34 49 20 0
-18 -34 -49 -20 0
1 18 36 5 0
-1 -18 -36 -5 0
1 19 50 5 0
-1 -19 -50 -5 0
2 34 50 5 0
-2 -34 -50 -5 0
18 34 50 21 0
-18 -34 -50 -21 0
1 20 63 5 0
-1 -20 -63 -5 0
2 35 63 5 0
-2 -35 -63 -5 0
18 35 63 21 0
-18 -35 -63 -21 0
3 49 63 5 0
-3 -49 -63 -5 0
19 49 63 21 0
-19 -49 -63 -21 0
34 49 63 36 0
-34 -49 -63 -36 0
1 18 37 6 0
-1 -18 -37 -6 0
1 19 51 6 0
-1 -19 -51 -6 0
2 34 51 6 0
-2 -34 -51 -6 0
18 34 51 22 0
-18 -34 -51 -22 0
1 20 64 6 0
-1 -20 -64 -6 0
2 35 64 6 0
-2 -35 -64 -6 0
18 35 64 22 0
-18 -35 -64 -22 0
3 49 64 6 0
-3 -49 -64 -6 0
19 49 64 22 0
-19 -49 -64 -22 0
34 49 64 37 0
-34 -49 -64 -37 0
1 21 76 6 0
-1 -21 -76 -6 0
2 36 76 6 0
-2 -36 -76 -6 0
18 36 76 22 0
-18 -36 -76 -22 0
3 50 76 6 0
-3 -50 -76 -6 0
19 50 76 22 0
-19 -50 -76 -22 0
34 50 76 37 0
-34 -50 -76 -37 0
4 63 76 6 0
-4 -63 -76 -6 0
20 63 76 22 0
-20 -63 -76 -22 0
35 63 76 37 0
-35 -63 -76 -37 0
49 63 76 51 0
-49 -63 -76 -51 0
1 18 38 7 0
-1 -18 -38 -7 0
1 19 52 7 0
-1 -19 -52 -7 0
2 34 52 7 0
-2 -34 -52 -7 0
18 34 52 23 0
-18 -34 -52 -23 0
1 20 65 7 0
-1 -20 -65 -7 0
2 35 65 7 0
-2 -35 -65 -7 0
18 35 65 23 0
-18 -35 -65 -23 0
3 49 65 7 0
-3 -49 -65 -7 0
19 49 65 23 0
-19 -49 -65 -23 0
34 49 65 38 0
-34 -49 -65 -38 0
1 21 77 7 0
-1 -21 -77 -7 0
2 36 77 7 0
-2 -36 -77 -7 0
18 36 77 23 0
-18 -36 -77 -23 0
3 50 77 7 0
-3 -50 -77 -7 0
19 50 77 23 0
-19 -50 -77 -23 0
34 50 77 38 0
-34 -50 -77 -38 0
4 63 77 7 0
-4 -63 -77 -7 0
20 63 77 23 0
-20 -63 -77 -23 0
35 63 77 38 0
-35 -63 -77 -38 0
49 63 77 52 0
-49 -63 -77 -52 0
1 22 88 7 0
-1 -22 -88 -7 0
2 37 88 7 0
-2 -37 -88 -7 0
18 37 88 23 0
-18 -37 -88 -23 0
3 51 88 7 0
-3 -51 -88 -7 0
19 51 88 23 0
-19 -51 -88 -23 0
34 51 88 38 0
-34 -51 -88 -38 0
4 64 88 7 0
-4 -64 -88 -7 0
20 64 88 23 0
-20 -64 -88 -23 0
35 64 88 38 0
-35 -64 -88 -38 0
49 64 88 52 0
-49 -64 -88 -52 0
5 76 88 7 0
-5 -76 -88 -7 0
21 76 88 23 0
-21 -76 -88 -23 0
36 76 88 38 0
-36 -76 -88 -38 0
50 76 88 52 0
-50 -76 -88 -52 0
63 76 88 65 0
-63 -76 -88 -65 0
1 18 39 8 0
-1 -18 -39 -8 0
1 19 53 8 0
-1 -19 -53 -8 0
2 34 53 8 0
-2 -34 -53 -8 0
18 34 53 24 0
-18 -34 -53 -24 0
1 20 66 8 0
-1 -20 -66 -8 0
2 35 66 8 0
-2 -35 -66 -8 0
18 35 66 24 0
-18 -35 -66 -24 0
3 49 66 8 0
-3 -49 -66 -8 0
19 49 66 24 0
-19 -49 -66 -24 0
34 49 66 39 0
-34 -49 -66 -39 0
1 21 78 8 0
-1 -21 -78 -8 0
2 36 78 8 0
-2 -36 -78 -8 0
18 36 78 24 0
-18 -36 -78 -24 0
3 50 78 8 0
-3 -50 -78 -8 0
19 50 78 24 0
-19 -50 -78 -24 0
34 50 78 39 0
-34 -50 -78 -39 0
4 63 78 8 0
-4 -63 -78 -8 0
20 63 78 24 0
-20 -63 -78 -24 0
35 63 78 39 0
-35 -63 -78 -39 0
49 63 78 53 0
-49 -63 -78 -53 0
1 22 89 8 0
-1 -22 -89 -8 0
2 37 89 8 0
-2 -37 -89 -8 0
18 37 89 24 0
-18 -37 -89 -24 0
3 51 89 8 0
-3 -51 -89 -8 0
19 51 89 24 0
-19 -51 -89 -24 0
34 51 89 39 0
-34 -51 -89 -39 0
4 64 89 8 0
-4 -64 -89 -8 0
20 64 89 24 0
-20 -64 -89 -24 0
35 64 89 39 0
-35 -64 -89 -39 0
49 64 89 53 0
-49 -64 -89 -53 0
5 76 89 8 0
-5 -76 -89 -8 0
21 76 89 24 0
-21 -76 -89 -24 0
36 76 89 39 0
-36 -76 -89 -39 0
50 76 89 53 0
-50 -76 -89 -53 0
63 76 89 66 0
-63 -76 -89 -66 0
1 23 99 8 0
-1 -23 -99 -8 0
2 38 99 8 0
-2 -38 -99 -8 0
18 38 99 24 0
-18 -38 -99 -24 0
3 52 99 8 0
-3 -52 -99 -8 0
19 52 99 24 0
-19 -52 -99 -24 0
34 52 99 39 0
-34 -52 -99 -39 0
4 65 99 8 0
-4 -65 -99 -8 0
20 65 99 24 0
-20 -65 -99 -24 0
35 65 99 39 0
-35 -65 -99 -39 0
49 65 99 53 0
-49 -65 -99 -53 0
5 77 99 8 0
-5 -77 -99 -8 0
21 77 99 24 0
-21 -77 -99 -24 0
36 77 99 39 0
-36 -77 -99 -39 0
50 77 99 53 0
-50 -77 -99 -53 0
63 77 99 66 0
-63 -77 -99 -66 0
6 88 99 8 0
-6 -88 -99 -8 0
22 88 99 24 0
-22 -88 -99 -24 0
37 88 99 39 0
-37 -88 -99 -39 0
51 88 99 53 0
-51 -88 -99 -53 0
64 88 99 66 0
-64 -88 -99 -66 0
76 88 99 78 0
-76 -88 -99 -78 0
1 18 40 9 0
-1 -18 -40 -9 0
1 19 54 9 0
-1 -19 -54 -9 0
2 34 54 9 0
-2 -34 -54 -9 0
18 34 54 25 0
-18 -34 -54 -25 0
1 20 67 9 0
-1 -20 -67 -9 0
2 35 67 9 0
-2 -35 -67 -9 0
18 35 67 25 0
-18 -35 -67 -25 0
3 49 67 9 0
-3 -49 -67 -9 0
19 49 67 25 0
-19 -49 -67 -25 0
34 49 67 40 0
-34 -49 -67 -40 0
1 21 79 9 0
-1 -21 -79 -9 0
2 36 79 9 0
-2 -36 -79 -9 0
18 36 79 25 0
-18 -36 -79 -25 0
3 50 79 9 0
-3 -50 -79 -9 0
19 50 79 25 0
-19 -50 -79 -25 0
34 50 79 40 0
-34 -50 -79 -40 0
4 63 79 9 0
-4 -63 -79 -9 0
20 63 79 25 0
-20 -63 -79 -25 0
35 63 79 40 0
-35 -63 -79 -40 0
49 63 79 54 0
-49 -63 -79 -54 0
1 22 90 9 0
-1 -22 -90 -9 0
2 37 90 9 0
-2 -37 -90 -9 0
18 37 90 25 0
-18 -37 -90 -25 0
3 51 90 9 0
-3 -51 -90 -9 0
19 51 90 25 0
-19 -51 -90 -25 0
34 51 90 40 0
-34 -51 -90 -40 0
4 64 90 9 0
-4 -64 -90 -9 0
20 64 90 25 0
-20 -64 -90 -25 0
35 64 90 40 0
-35 -64 -90 -40 0
49 64 90 54 0
-49 -64 -90 -54 0
5 76 90 9 0
-5 -76 -90 -9 0
21 76 90 25 0
-21 -76 -90 -25 0
36 76 90 40 0
-36 -76 -90 -40 0
50 76 90 54 0
-50 -76 -90 -54 0
63 76 90 67 0
-63 -76 -90 -67 0
1 23 100 9 0
-1 -23 -100 -9 0
2 38 100 9 0
-2 -38 -100 -9 0
18 38 100 25 0
-18 -38 -100 -25 0
3 52 100 9 0
-3 -52 -100 -9 0
19 52 100 25 0
-19 -52 -100 -25 0
34 52 100 40 0
-34 -52 -100 -40 0
4 65 100 9 0
-4 -65 -100 -9 0
20 65 100 25 0
-20 -65 -100 -25 0
35 65 100 40 0
-35 -65 -100 -40 0
49 65 100 54 0
-49 -65 -100 -54 0
5 77 100 9 0
-5 -77 -100 -9 0
21 77 100 25 0
-21 -77 -100 -25 0
36 77 100 40 0
-36 -77 -100 -40 0
50 77 100 54 0
